"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001909","leukocyte mediated cytotoxicity",138,0.361294693693457,1.56343378785297,0.00280337872444018,0.0367524993853304,0.0310522100069811,7775,"tags=67%, list=41%, signal=40%","ULBP3/PVR/TUBB/ULBP1/RAET1L/ULBP2/CEBPG/TAP2/CTSC/POMC/UNC13D/ICAM1/RNF19B/HPRT1/LAG3/GZMB/CXCL6/KIR2DL4/HLA-F/CYRIB/IL23A/ARRB2/IL12A/IGHG1/NECTIN4/NOS2/PRF1/IL12RB1/SLAMF7/PLEKHM2/RAET1G/PRDX1/CEACAM1/HLA-A/MYD88/KLRD1/LILRB1/SERPINB9/HLA-G/TREM1/NCF1/NKG7/IL18RAP/HLA-B/HLA-H/FCGR1A/TIGIT/XCL1/KLRC1/CADM1/HLA-E/FCGR2A/LAMP1/LGALS9/CD1A/SPI1/IL18/CORO1A/CD1B/HLA-C/SLAMF6/CD2/SCNN1B/HLA-DRA/VAMP7/PIK3CB/STAP1/B2M/CD226/HLA-DRB1/FCGR2B/SH2D1A/KIF5B/FCGR3A/NCR3/KLRC4-KLRK1/KLRK1/PTPRC/HAVCR2/NCKAP1L/P2RX7/CRK/RAB27A/VAV1/PIK3R6/INPP5D/STX7/TYROBP/IL7R/CRTAM/GFUS/AGER"
"GO:0140042","lipid droplet formation",17,-0.609005062677744,-1.82162295937586,0.00290591633278801,0.0378964197078956,0.032018709011991,3323,"tags=53%, list=17%, signal=44%","FITM1/RAB40C/CDS1/CDS2/NEGR1/PISD/FITM2/SMIM22/ZFYVE1"
"GO:2000772","regulation of cellular senescence",45,0.48423213270919,1.73574703632351,0.00309593479406484,0.0400279123052375,0.0338196084574149,2354,"tags=27%, list=12%, signal=23%","YBX1/CGAS/FBXO5/CDK6/PNPT1/RBL1/TERT/HMGA2/SUV39H1/ARG2/KIR2DL4/BCL2L12"
"GO:0099500","vesicle fusion to plasma membrane",28,-0.528948198400709,-1.82004767143286,0.00312680330858577,0.0403404495379642,0.0340836713632837,4364,"tags=57%, list=23%, signal=44%","SYT7/STXBP1/DOC2B/TRARG1/GRIK5/DOC2A/RAB3A/STX1B/SNAP29/SYT13/PRRT2/SNAP23/SYT1/RPH3AL/CPLX1/SYT9"
"GO:0031100","animal organ regeneration",50,0.471646908205936,1.72718960345071,0.00335888964069251,0.0424031848543769,0.0358264777385048,1298,"tags=30%, list=7%, signal=28%","LPIN1/EZH2/CCNA2/SLC7A5/CEBPB/NOTCH1/CAD/AURKA/PNPT1/BAK1/CSNK2A2/UPF2/CLDN1/GSTP1/PCNA"
"GO:0051047","positive regulation of secretion",291,-0.256143121681325,-1.34919920552033,0.00338818570713373,0.0424403719032863,0.0358578970996799,3057,"tags=22%, list=16%, signal=19%","TSG101/SLC12A2/APBB3/TRPA1/C2CD2L/DOC2A/PINK1/FGB/RAB3A/CHMP2A/SELENOT/UCN/PDCD6IP/STX1B/CLASP2/RHBDD1/CXCL12/CADPS2/NNAT/RAPGEF4/SCIN/GATA1/C1QTNF3/RFX6/NPY2R/NEGR1/ILDR1/PPP3CB/GPER1/CD177/NKX3-1/ANG/GRP/TRPM4/KISS1R/FFAR2/P2RX4/TAC1/GLUD1/F2RL2/GATA2/ABCG1/CYP4A11/SMPD3/MYRIP/MYB/SIRT3/PLA2G10/TGFB3/GHRH/GIPR/SLC6A4/ITPR1/SYT1/RPH3AL/SYBU/SYTL4/BAIAP3/TRH/RAB27B/SLC30A8/SLC4A8/ABCC8/ABAT/XBP1"
"GO:0002703","regulation of leukocyte mediated immunity",244,0.305564423129309,1.42516320359765,0.00339925542194747,0.0424906927743434,0.0359004132355055,7401,"tags=58%, list=39%, signal=36%","ULBP3/MSH2/PVR/ULBP1/LYN/RAET1L/CLEC7A/ULBP2/IL20RB/TAP2/PLCG2/POMC/ADORA2B/UNC13D/IL27RA/FERRY3/ICAM1/HSPD1/ATAD5/LAG3/TNF/APLF/CXCL6/ADGRE2/KIR2DL4/IL4I1/HLA-F/HMCES/MAD2L2/DDX21/IFNG/DUSP22/CYRIB/DDX1/CD274/IL23A/TFRC/ARRB2/IL12A/DHX36/BCR/NECTIN4/CD40/MALT1/NOS2/IL12RB1/FZD5/NSD2/YWHAG/RAET1G/CD80/CEACAM1/SECTM1/KIT/HLA-A/CALHM6/IL18R1/USP5/C4BPA/HMGB1/LILRB4/KLRD1/LILRB1/RIF1/SERPINB9/HLA-G/CD7/SH2D1B/FOXP3/JAK3/IL18RAP/EXOSC6/HLA-B/MAP3K7/PDCD1/FES/HLA-H/RSAD2/FCER1G/FCGR1A/SYK/TIGIT/ITGB2/LTA/SLC15A4/C3/FUT7/XCL1/KLRC1/CADM1/HLA-E/TBX21/LAMP1/TRAF2/IL1B/IL13RA2/LGALS9/CD1A/CD300A/CLNK/SPI1/TNFRSF1B/IL18/CR2/WAS/CR1/IL10/SLAMF1/CD1B/HLA-C/SCIMP/SLAMF6/HLA-DRA/TICAM1/VAMP7/CD96/STAP1/B2M/CD226/HLA-DRB1/CCR2/FCGR2B/SH2D1A/RABGEF1/NOD2/NCR3/RAC2/SASH3/KLRC4-KLRK1/KLRK1/FGR/PTPRC/HAVCR2/NCKAP1L/FCER2/PRKAA1/P2RX7/CD81/CRK/VAV1/PIK3R6"
"GO:0042255","ribosome assembly",54,0.447523557127562,1.66516008302773,0.00342811790515803,0.042762754406992,0.0361302782812341,7405,"tags=67%, list=39%, signal=41%","NIP7/RPF2/BOP1/BRIX1/MTERF3/MRTO4/ABT1/PRKDC/DDX28/NOP2/EIF5B/RPS19/RRP7A/MDN1/C1QBP/RRS1/RPL5/DHX37/RPL38/EIF6/RPSA/RPS6/NPM1/PWP2/NOA1/MPV17L2/MRPS2/RPL24/FASTKD2/SBDS/RCC1L/MTG2/EIF2A/MCAT/RPS27/RPS28"
"GO:0010807","regulation of synaptic vesicle priming",11,-0.719770787011964,-1.93442785381066,0.00348202130017656,0.0432839791565789,0.0365706614022652,4517,"tags=55%, list=24%, signal=42%","UNC13B/STXBP1/NAPB/STX1B/SYP/NAPA"
"GO:0014015","positive regulation of gliogenesis",61,0.446604603314348,1.69230738250912,0.00357562646331395,0.0439659052361851,0.0371468211788061,3753,"tags=39%, list=20%, signal=32%","SOX8/HDAC2/SLC7A5/RHEB/IL34/LYN/NOTCH1/SOX10/ZNF488/BMP2/E2F1/ETV5/SERPINE2/MYRF/TNF/PTPRZ1/PLAG1/QKI/TSPO/PRKCI/LIF/RNF112/CLCN2/BIN1"
"GO:0072331","signal transduction by p53 class mediator",188,0.331581848874926,1.50379609353071,0.00359297147041666,0.044015172273602,0.0371884469299217,3163,"tags=25%, list=17%, signal=21%","CDKN2A/CHEK1/FOXM1/PAK1IP1/AURKB/MSH2/E2F2/GTSE1/CHEK2/NDRG1/RBM38/TP53BP2/RPF2/AURKA/BOP1/KDM1A/ANKRD1/E2F1/RPS7/PERP/PML/CASP2/URB2/SMYD2/BRCA2/E2F7/ATAD5/AARS1/SNAI1/MYBBP1A/URI1/BAG6/EIF5A/SMARCA4/MYC/NOP2/COPS3/BCL2L12/IFI16/MORN3/DDIT4/KMT5A/RPS20/SOX4/TFAP4/USP10/MLF1"
"GO:0006895","Golgi to endosome transport",17,-0.596637740067855,-1.7846304938073,0.00394211653284063,0.047131599682265,0.0398215184212158,3498,"tags=47%, list=18%, signal=38%","GBF1/VPS13C/RAB14/DOP1B/AP1AR/SYS1/MON2/KIF16B"
"GO:0022602","ovulation cycle process",44,-0.444462856819251,-1.68058230327555,0.00398074650847803,0.047131599682265,0.0398215184212158,3345,"tags=34%, list=18%, signal=28%","LEP/SLIT2/CGA/NOTCH4/NR5A2/SLIT3/NRIP1/FZD4/ROBO2/AFP/GDF9/TGFB3/BMPR1B/PGR/ESR1"
"GO:0045103","intermediate filament-based process",69,0.421223127483674,1.64540960815831,0.00398376056170247,0.047131599682265,0.0398215184212158,4224,"tags=36%, list=22%, signal=28%","KRT16/KRT83/KRT86/KRT79/KRT6B/INA/PKP1/KRT81/KRT6C/NES/KRT6A/KRT5/KRT23/KRT17/SYNM/VPS54/KRT14/AGFG1/NDEL1/KLHL24/DNAJB6/KRT75/VIM/KRT4/KRT7"
"GO:0031099","regeneration",167,0.337899768142776,1.51290329546863,0.00398573802662885,0.047131599682265,0.0398215184212158,2506,"tags=22%, list=13%, signal=19%","FZD9/RGMA/LPIN1/KLK6/EZH2/CCNA2/IFRD1/SLC7A5/SPAAR/CEBPB/NOTCH1/CAD/KLF5/AURKA/PNPT1/BAK1/CCNB1/NFIB/CSNK2A2/UPF2/CLDN1/GSTP1/FZD7/PCNA/PPARD/ANXA1/VPS54/TNF/FOLR1/ADAM17/RTN4R/SOX15/AKIRIN1/MYOZ1/PTCH1/RTCA/TSPO"
"GO:0002695","negative regulation of leukocyte activation",191,0.322463204760692,1.46415953433712,0.00398956279468136,0.047131599682265,0.0398215184212158,6117,"tags=42%, list=32%, signal=29%","TAFA3/CDKN2A/SOX11/BPI/GAL/PTPN2/CEBPB/PELI1/LYN/IL20RB/IDO1/TNFRSF21/SFRP1/CBFB/PRNP/RUNX3/TYRO3/IL2RA/ANXA1/LAG3/ARG2/CX3CL1/IL4I1/CSK/DUSP22/LILRB2/PDCD1LG2/GNRH1/CD274/GLMN/SOCS1/TMEM131L/IL31RA/BTN2A2/YWHAG/CTLA4/CD80/PAG1/SCRIB/SRC/HMGB3/USP5/NRARP/HMGB1/CASP3/LILRB4/LILRB1/HLA-G/FOXP3/JAK3/CD86/PTPN22/MAD1L1/PDCD1/TNFAIP3/LAX1/ZC3H8/MDK/TIGIT/SOCS5/RC3H2/GPNMB/XCL1/IRF1/FAM76B/DLG1/HLA-E/TBX21/ENPP3/VSIG4/LGALS9/LGALS1/CD300A/CLNK/FBXO7/PLA2G2D/CR1/IL10/CD300LF/CLEC12A"
"GO:0071679","commissural neuron axon guidance",14,0.660725025423821,1.75525599580032,0.00400637674964291,0.0471453513996065,0.0398331372559069,2510,"tags=50%, list=13%, signal=43%","SMO/NFIB/EPHB2/ADAM17/PTCH1/VEGFA/RYK"
"GO:0002861","regulation of inflammatory response to antigenic stimulus",43,0.467511585039348,1.64677737707318,0.00402685093835782,0.0471735788999131,0.0398569866887931,8060,"tags=81%, list=42%, signal=47%","LYN/KARS1/RHBDF2/IL20RB/YES1/PSMB4/TNF/GNAS/FYN/SRC/MAPK14/HCK/PLCG1/MKRN2/FCER1G/PSMA1/FCGR1A/SYK/FURIN/LTA/C3/FUT7/HLA-E/PLA2G2D/IL10/HLA-DRB1/FCGR2B/SELENOS/FGR/CD81/CCR7/BTK/CD28/ZP3/IL12B"
"GO:0030177","positive regulation of Wnt signaling pathway",144,0.34957526427397,1.52455893379233,0.0040322644204905,0.0471735788999131,0.0398569866887931,4039,"tags=30%, list=21%, signal=24%","FZD9/POU5F1/AMER1/DLX5/ATP6V1C2/CDH3/ASPM/DEPDC1B/EGFR/LGR5/SFRP1/TERT/RSPO4/BMP2/GPRC5B/SCEL/PTK7/CCDC134/RNF220/SMARCA4/RUVBL1/HSP90B1/KANK1/SPIN4/FGF9/TLR2/LRRK1/WNT5B/DISC1/SMURF2/DKK1/LGR6/JRK/SOX4/SKI/PPP2R3A/RPS12/SRC/TMEM132A/PRDM15/NRARP/VCP/WNT10B"
"GO:0090399","replicative senescence",15,0.616561913912876,1.66608220837678,0.00413283342191947,0.0477933231613528,0.0403806090077837,944,"tags=27%, list=5%, signal=25%","CDKN2A/CHEK1/CHEK2/TERT"
