"gene_id","symbol","gene_type","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000228594.4","FNDC10","protein_coding",1163.04558877564,0.433944992375601,0.0895339192171569,4.87180457379841,1.10583524197051e-06,1.7561905790363e-06
"ENSG00000268027.5","AC243960.1","lncRNA",47.4283093542264,0.607985831619042,0.126143069274802,4.87173416097398,1.10622950813963e-06,1.75669430880786e-06
"ENSG00000072756.17","TRNT1","protein_coding",1099.00184771657,0.19231818168715,0.0395173328210563,4.87164870092312,1.10670821074471e-06,1.75733204424738e-06
"ENSG00000084676.15","NCOA1","protein_coding",4641.546374157,-0.227269754896137,0.0465928844870306,-4.8709335423321,1.11072197749087e-06,1.76358259641873e-06
"ENSG00000078549.15","ADCYAP1R1","protein_coding",128.735193288826,0.116294769478676,0.109055629017003,-4.87008027714954,1.11552918433683e-06,1.77109199862213e-06
"ENSG00000142621.19","FHAD1","protein_coding",176.782092490344,-0.35428418863003,0.073083089602001,-4.86881198013217,1.12271165190939e-06,1.78237122169594e-06
"ENSG00000166831.9","RBPMS2","protein_coding",226.159487961184,0.419591177809065,0.0867077879124384,4.86809743966403,1.12677772793246e-06,1.78870176201913e-06
"ENSG00000131871.15","SELENOS","protein_coding",3848.12368278811,0.232616237532452,0.0479467381230104,4.86739055011484,1.13081420794452e-06,1.79498444165367e-06
"ENSG00000180871.8","CXCR2","protein_coding",27.509722786259,0.337749697419136,0.09979779981735,4.86654287783554,1.13567293366509e-06,1.80257133722133e-06
"ENSG00000064490.14","RFXANK","protein_coding",2042.38336845981,0.273765404119996,0.0563035618882981,4.86610424080459,1.13819501346479e-06,1.80644864567382e-06
"ENSG00000179715.13","PCED1B","protein_coding",729.158156457626,-0.441078874519189,0.091126937398113,-4.86550701303762,1.1416376259403e-06,1.81178630546656e-06
"ENSG00000131591.18","C1orf159","protein_coding",851.594986189746,0.32796322918447,0.0676375011722126,4.86543256592914,1.14206746462839e-06,1.81234226335786e-06
"ENSG00000230896.1","AL604028.1","lncRNA",128.647139371833,-0.242643790072799,0.0500195926250962,-4.86476569342316,1.14592476848929e-06,1.81833679583926e-06
"ENSG00000225422.4","RBMS1P1","processed_pseudogene",20.2762351320118,0.439397378745493,0.0907087216667989,4.86466169637332,1.14652743384717e-06,1.81916644004531e-06
"ENSG00000125409.13","TEKT3","protein_coding",74.0925717711382,0.220320609878798,0.112243308755929,-4.86438835399509,1.14811291397104e-06,1.82155526782555e-06
"ENSG00000120265.18","PCMT1","protein_coding",3807.06128638732,0.214054279808235,0.0443315832887326,4.86392060007048,1.15083094328339e-06,1.82574050037392e-06
"ENSG00000229344.1","MTCO2P12","unprocessed_pseudogene",56.5719399761249,1.33911722058524,0.0914148785640189,4.86358804187604,1.15276714049468e-06,1.82855762103384e-06
"ENSG00000254154.8","CRYZL2P-SEC16B","lncRNA",12.0755643445236,-0.566419946895733,0.117798376322619,-4.86359471910003,1.15272823400844e-06,1.82855762103384e-06
"ENSG00000188277.10","C15orf62","protein_coding",102.073700868299,0.372908693355741,0.0771713239913687,4.86348968474917,1.1533403888677e-06,1.82933960628324e-06
"ENSG00000165389.7","SPTSSA","protein_coding",4311.02692969298,0.286797424036458,0.0592542419878097,4.86112603729447,1.16719906630116e-06,1.85119233960123e-06
"ENSG00000183605.17","SFXN4","protein_coding",1440.62667047917,0.246148779601192,0.0507397893274045,4.86035983440257,1.17172579954991e-06,1.85824248121509e-06
"ENSG00000185361.9","TNFAIP8L1","protein_coding",1094.27808023961,-0.247540728586999,0.0510357261758465,-4.85999351029105,1.17389600947331e-06,1.86155468632801e-06
"ENSG00000255517.6","AP002748.4","lncRNA",82.6057669189845,0.320377570813039,0.066162980355871,4.85979342872819,1.17508298297816e-06,1.86330733076291e-06
"ENSG00000127481.15","UBR4","protein_coding",10046.4366415682,0.242733845149399,0.051863080813779,4.85899335058523,1.17984095662598e-06,1.87072180621002e-06
"ENSG00000196976.7","LAGE3","protein_coding",1747.12042825841,0.392782861884286,0.0814004158769943,4.8568893884434,1.19244160788875e-06,1.89056950854904e-06
"ENSG00000231851.6","MRPS9-AS1","lncRNA",12.407212298157,0.375868477663093,0.0777232582018707,4.85684865490571,1.19268683447743e-06,1.89082676993427e-06
"ENSG00000170835.16","CEL","protein_coding",74.9027779517413,2.28871847984751,0.130328114956984,4.85639776112351,1.19540457656564e-06,1.8950035267794e-06
"ENSG00000185379.20","RAD51D","protein_coding",896.529467240473,0.198765922307071,0.0409749898382584,4.85621635611387,1.19649966704276e-06,1.89660758878645e-06
"ENSG00000204584.1","AC027801.1","lncRNA",30.5130153992965,-0.483408666266305,0.100598932492118,-4.85583917355035,1.19877970150386e-06,1.90008958738261e-06
"ENSG00000151693.11","ASAP2","protein_coding",1126.05019296085,0.385469139330455,0.0799484920867831,4.85531627613245,1.20194748447714e-06,1.9049781028316e-06
"ENSG00000285210.1","LINC02795","lncRNA",29.3972702026209,-0.547281670020906,0.114079064931087,-4.85526394791189,1.2022649388142e-06,1.90534873934458e-06
"ENSG00000105137.13","SYDE1","protein_coding",874.688992199033,0.3267002010492,0.0675007961424685,4.85523590510694,1.20243509646627e-06,1.90548590485069e-06
"ENSG00000282458.1","WASH5P","transcribed_processed_pseudogene",27.3111963647675,-0.443246682060548,0.0919295279574776,-4.85347117820664,1.21318980785572e-06,1.92239511303898e-06
"ENSG00000185485.14","SDHAP1","transcribed_unprocessed_pseudogene",432.500132463355,0.275560279273186,0.0568448677104339,4.85252964325083,1.21896556723059e-06,1.93141297571972e-06
"ENSG00000181991.16","MRPS11","protein_coding",975.005113183995,0.178081465045821,0.036855597780924,4.85199562418793,1.2222532053087e-06,1.93648750797292e-06
"ENSG00000214655.11","ZSWIM8","protein_coding",2647.662071123,-0.203100601672408,0.0416325294670928,-4.85179400579711,1.22349666687113e-06,1.93832285101208e-06
"ENSG00000122122.10","SASH3","protein_coding",928.336495000541,0.448752500690031,0.0936242451882002,4.85107211699038,1.22795883225738e-06,1.94525681142544e-06
"ENSG00000134709.12","HOOK1","protein_coding",2761.35009240543,-0.295165793702115,0.0610251830170437,-4.850695666775,1.23029196666188e-06,1.94881736253759e-06
"ENSG00000092439.16","TRPM7","protein_coding",2785.63467176313,-0.249733855359989,0.0520704343526584,-4.8506249182555,1.23073092222454e-06,1.94937719427476e-06
"ENSG00000211789.2","TRAV12-2","TR_V_gene",20.3415621921926,0.689228409728361,0.144008476368751,4.85054358749297,1.23123572092775e-06,1.9500412311094e-06
"ENSG00000166839.17","ANKDD1A","protein_coding",208.545716975131,0.273160562985468,0.056442711825488,4.8502944103654,1.23278353823756e-06,1.95235700229117e-06
"ENSG00000154175.18","ABI3BP","protein_coding",1502.58107443898,-0.562930385443371,0.117532951536622,-4.85024484868693,1.23309162436908e-06,1.95270922811254e-06
"ENSG00000271105.1","SCML2P2","processed_pseudogene",8.8563867869515,-0.523785371536255,0.108862763662517,-4.84918003724396,1.2397286413595e-06,1.96308312827239e-06
"ENSG00000180818.5","HOXC10","protein_coding",1768.55338749154,-0.676105284832361,0.142071620641784,-4.84913595901107,1.24000412235298e-06,1.96338293403826e-06
"ENSG00000278129.2","ZNF8","protein_coding",694.635443876795,0.248795058674014,0.0512234563885331,4.84870254127108,1.24271604317912e-06,1.96754021119106e-06
"ENSG00000182782.8","HCAR2","protein_coding",103.564967705138,0.53672763715248,0.111750024830317,4.84836746887018,1.24481652091999e-06,1.97072890582713e-06
"ENSG00000161905.13","ALOX15","protein_coding",134.188135461815,-0.82836708066105,0.175750081166405,-4.8481261580137,1.24633134810351e-06,1.97299005033182e-06
"ENSG00000099953.10","MMP11","protein_coding",25436.1393947681,-0.577984947471108,0.121433625866746,-4.84404155709139,1.27224304510942e-06,2.01386937359972e-06
"ENSG00000198300.14","PEG3","protein_coding",835.631398750339,0.919636293878799,0.194776453838996,4.84264686839834,1.28120869570647e-06,2.02792050724676e-06
"ENSG00000101935.10","AMMECR1","protein_coding",1331.62165456125,0.323808341673992,0.0672505049304861,4.84232039813968,1.28331614638954e-06,2.03097411932255e-06
"ENSG00000266962.2","AC067852.2","lncRNA",152.114885983794,-0.290896802548748,0.0603099052623291,-4.84233256113982,1.28323757128558e-06,2.03097411932255e-06
"ENSG00000029559.7","IBSP","protein_coding",157.229615383496,3.56970634814033,0.15910360363227,4.84217038922483,1.28428561076115e-06,2.03236726530047e-06
"ENSG00000077157.22","PPP1R12B","protein_coding",2930.95187755255,-0.296975316896288,0.0617550872940012,-4.84181701921915,1.28657212435634e-06,2.0358442884264e-06
"ENSG00000242474.3","AC093627.5","lncRNA",224.755886888097,0.289006968704744,0.0598268856226922,4.84166914316314,1.28753013190467e-06,2.03721877507909e-06
"ENSG00000165685.8","TMEM52B","protein_coding",75.7856359753978,0.398099537364169,0.0826991175464218,4.84148292121685,1.2887375375258e-06,2.03898765829577e-06
"ENSG00000250506.8","CDK3","protein_coding",9.42878692924942,0.441773756834579,0.0918978123948625,4.84079620491059,1.29319941436662e-06,2.04590502935094e-06
"ENSG00000177283.7","FZD8","protein_coding",1389.97602229962,0.525629304773467,0.109622978753372,4.83991892040498,1.2989211107156e-06,2.05481439816195e-06
"ENSG00000276846.1","AC016590.3","lncRNA",60.7611278513318,-0.362374911141361,0.0752533511923837,-4.83953522741861,1.30143122355244e-06,2.05864235258077e-06
"ENSG00000129028.9","THAP10","protein_coding",190.586404892533,-0.259577415898812,0.0537462419245774,-4.83934967709746,1.30264676358885e-06,2.06042212429409e-06
"ENSG00000215769.8","ARHGAP27P1-BPTFP1-KPNA2P3","lncRNA",35.6374436285425,0.392352066230087,0.0815725783815455,4.83907623224034,1.30444009133165e-06,2.06311548379873e-06
"ENSG00000172901.20","LVRN","protein_coding",39.778157408982,-0.657532461129421,0.138320082114588,-4.83877791897213,1.30639922145063e-06,2.0660706860094e-06
"ENSG00000286223.1","AC064836.3","lncRNA",31.3790924928036,0.343944828219742,0.0713909093908841,4.83845423955396,1.30852814147172e-06,2.06929398225658e-06
"ENSG00000108465.15","CDK5RAP3","protein_coding",301.714930892444,-0.420624013239329,0.0874896716559103,-4.83842786376537,1.30870176855352e-06,2.06942496406739e-06
"ENSG00000108788.12","MLX","protein_coding",2258.14179453734,0.18087755934755,0.0373977174066035,4.83794518159223,1.31188309470997e-06,2.07431161450916e-06
"ENSG00000117713.20","ARID1A","protein_coding",9117.86420002422,-0.201664034320069,0.0426443508536219,-4.83622732163146,1.32326585054148e-06,2.09216455079367e-06
"ENSG00000274677.1","AC040169.3","lncRNA",12.1648158369514,0.422446551330599,0.0881555327575563,4.8359264945841,1.32526891770243e-06,2.09518617531604e-06
"ENSG00000100298.16","APOBEC3H","protein_coding",48.4491819361082,0.524480215012315,0.109415648034504,4.83580973548053,1.32604714751812e-06,2.09627110626936e-06
"ENSG00000112182.15","BACH2","protein_coding",339.938723416108,0.458476006003674,0.0953944650647212,4.83468954719754,1.3335358654286e-06,2.10796337279672e-06
"ENSG00000286613.1","AC006213.7","lncRNA",11.0059633418928,0.441841189961504,0.0920699539149814,4.83437255155734,1.33566242788711e-06,2.11117847243048e-06
"ENSG00000281501.1","SEPSECS-AS1","lncRNA",102.696232509583,-0.322790501727953,0.0669876167740451,-4.83407368698907,1.33767034505107e-06,2.11420560569063e-06
"ENSG00000113504.21","SLC12A7","protein_coding",6459.06869297867,0.246124324088206,0.050813393218143,4.83403584954219,1.337924762324e-06,2.11446108162584e-06
"ENSG00000166391.15","MOGAT2","protein_coding",346.016847296115,0.77040708798255,0.162130650508295,4.83388942728029,1.33890973754316e-06,2.11587101846804e-06
"ENSG00000186907.8","RTN4RL2","protein_coding",210.924018354168,0.42235725214697,0.0878724037316071,4.8325009909537,1.34828440599064e-06,2.13053802239012e-06
"ENSG00000180257.14","ZNF816","protein_coding",574.383856898635,-0.236342847752558,0.0489923486743409,-4.83245940910481,1.3485661363701e-06,2.13070341397213e-06
"ENSG00000198453.13","ZNF568","protein_coding",696.376073419658,-0.243236765138564,0.0504523460943959,-4.83245794611822,1.34857604960502e-06,2.13070341397213e-06
"ENSG00000010244.19","ZNF207","protein_coding",7615.15153625458,0.110620113788729,0.0229344695290903,4.83184785125044,1.35271618263785e-06,2.13709652838619e-06
"ENSG00000139193.4","CD27","protein_coding",175.405208621414,0.59064892442344,0.123586508046202,4.83176332855937,1.35329072085317e-06,2.1378560212771e-06
"ENSG00000101181.17","MTG2","protein_coding",2283.39745306998,0.232245983177924,0.0483699690514747,4.83145871910299,1.35536323400759e-06,2.14098166525278e-06
"ENSG00000186076.5","AC012085.1","processed_pseudogene",29.0585457584788,0.527609609576177,0.110101385065538,4.83047131640067,1.36210236709799e-06,2.15147792976162e-06
"ENSG00000223382.5","LINC01778","lncRNA",17.2974872978036,-0.559183204363524,0.117250075976869,-4.83029586866439,1.36330318430282e-06,2.1532254243552e-06
