"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa01230","Biosynthesis of amino acids",64,0.471941112846221,1.7903113074763,0.000460433490032655,0.00708667197702435,0.0052470452639877,4763,"tags=44%, list=25%, signal=33%","PSAT1/RPIA/PHGDH/ENO1/PFKP/GAPDH/TPI1/SHMT2/GPT2/PSPH/LOC102724560/CBS/ARG2/TKT/PRPS2/PGK1/TALDO1/ASS1/BCAT1/RPE/PFKL/PKM/IDH2/PGAM1/GOT1/IDH3G/ALDOC/PYCR1"
"hsa01200","Carbon metabolism",102,0.40313953142621,1.64897633043573,0.000523504224245277,0.00772168730761784,0.00571721718583658,4875,"tags=41%, list=26%, signal=31%","PSAT1/RPIA/PHGDH/ENO1/PDHA1/PFKP/GAPDH/ME2/MDH1/TPI1/SHMT2/GPT2/ACAT2/PSPH/GPI/TKT/GCSH/PRPS2/PGK1/HK3/TALDO1/FH/MDH2/DLAT/PGD/ME1/RPE/SUCLG1/PFKL/PKM/IDH2/DLD/PGAM1/HKDC1/SDHD/GOT1/SDHB/IDH3G/ALDOC/ADH5/OGDHL/ADPGK"
"hsa05164","Influenza A",147,0.370173271170762,1.61369036585336,0.000703748155968983,0.00996507388852079,0.00737824382468533,7726,"tags=61%, list=41%, signal=36%","PRSS3/CDK6/IFNAR2/BAK1/CXCL10/KPNA2/PRKCA/BID/FDPS/IL1A/PML/ICAM1/HLA-DOB/XPO1/CYCS/TNF/SLC25A5/IFIH1/CXCL8/CPSF4L/NXT1/CDK4/CPSF4/IFNG/NXT2/MX2/HNRNPUL1/NFKBIB/ACTB/IL12A/IKBKE/FAS/IFNGR1/PIK3CD/CCND3/CCL5/MYD88/CASP3/MAP2K1/AKT3/FASLG/EIF2AK2/CASP1/STAT1/RSAD2/CIITA/BAX/TNFRSF10A/CCL2/IFNGR2/TRIM25/MX1/EIF2S1/IL1B/TMPRSS2/HLA-DQA1/ACTG1/IL18/TNFRSF10B/TNFRSF1A/RELA/MAP2K2/KPNA6/HLA-DRA/TICAM1/HLA-DMA/PIK3CB/TRAF3/PIK3CA/HLA-DRB1/STAT2/IRF3/DNAJB1/MAPK1/HLA-DQB1/SLC25A6/HLA-DQA2/HLA-DOA/KPNA5/HLA-DRB5/ADAR/HLA-DMB/RAF1/OAS2/RIGI/IKBKG/TYK2/PRKCB/RAE1"
"hsa05340","Primary immunodeficiency",33,0.5473605646377,1.80614984629689,0.00116529720684917,0.0154807003521228,0.0114620707335075,7641,"tags=91%, list=40%, signal=54%","TAP2/DCLRE1C/TAP1/ADA/UNG/ORAI1/CD40/ICOS/RFX5/RFXAP/CD8B2/JAK3/IL2RG/CIITA/TNFRSF13C/CD8B/CD79A/LCK/CD4/ZAP70/CD19/CD3D/RFXANK/CD3E/RAG1/PTPRC/CD8A/IKBKG/BTK/IL7R"
"hsa05330","Allograft rejection",33,0.547018121477999,1.8050198714682,0.00118073138278903,0.0154807003521228,0.0114620707335075,8060,"tags=91%, list=42%, signal=52%","HLA-DOB/TNF/GZMB/HLA-F/IFNG/IL12A/CD40/PRF1/FAS/CD80/HLA-A/FASLG/HLA-G/CD86/HLA-B/HLA-E/HLA-DQA1/IL10/HLA-C/HLA-DRA/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DQA2/HLA-DOA/HLA-DRB5/HLA-DMB/CD28/HLA-DQB2/IL12B"
"hsa04657","IL-17 signaling pathway",83,0.421075207589182,1.68056806344062,0.00146483055176755,0.0185196434044898,0.01371213561617,6534,"tags=53%, list=34%, signal=35%","CXCL5/CEBPB/CCL20/CXCL1/S100A8/PTGS2/FOSL1/CXCL10/LCN2/ELAVL1/MMP1/CCL7/CXCL3/TNF/CXCL6/HSP90B1/MAPK4/CXCL8/S100A9/IFNG/HSP90AB1/IKBKE/MAPK7/MAPK14/MAPK12/CASP3/SRSF1/TRAF3IP2/MAP3K7/TNFAIP3/MAPK6/CCL2/USP25/IL17RE/TRAF4/TRAF2/IL1B/ANAPC5/RELA/CCL17/IL17RA/MMP9/HSP90AA1/TRAF3"
"hsa05170","Human immunodeficiency virus 1 infection",190,0.33862211639979,1.52736426671135,0.00169454862026183,0.0206851797094031,0.0153155211050888,7117,"tags=54%, list=37%, signal=34%","CHEK1/CCNB2/CGAS/IRAK1/APOBEC3B/TAP2/BAK1/PLCG2/CDK1/PPP3R1/CCNB1/PRKCA/BID/CALR/TAP1/CUL1/CYCS/LIMK2/TNF/GNB4/LIMK1/CDC25C/PAK3/HLA-F/MAP2K3/GNAI1/TLR2/GNAI3/NRAS/ITPR3/ELOC/FAS/APOBEC3A_B/APOBEC3A/PIK3CD/CALML5/HLA-A/TAPBP/MAPK14/MYD88/MAPK12/CASP3/MAP2K1/AKT3/CXCR4/GNG4/RAC3/FASLG/CCNB3/HLA-G/TAPBPL/PLCG1/PTK2/AP1M1/NFATC1/CFL2/HLA-B/MAP3K7/CALM2/BAX/RBX1/AP1B1/AP1S3/CFL1/AP1S1/SAMHD1/APOBEC3C/CCR5/HLA-E/ATR/TRAF2/APOBEC3F/RPS6KB2/NFATC3/TNFRSF1B/MAP2K6/TNFRSF1A/MAP2K7/RELA/GNGT2/CD247/HLA-C/MAP2K2/CD4/GNB3/PDIA3/PIK3CB/B2M/PIK3CA/CUL4A/CD3G/RNF7/CRKL/GNG7/CD3D/IRF3/MAPK1/RAC2/APOBEC3G/APOBEC3H/KRAS/GNG5/CD3E"
"hsa00052","Galactose metabolism",28,0.576541066966684,1.82573947554938,0.00177663760343145,0.0209643237204911,0.0155222022194537,3829,"tags=50%, list=20%, signal=40%","MGAM2/UGP2/LCT/PFKP/PGM1/B4GALT2/AKR1B1/HK3/AKR1B15/GALK1/PGM2/PFKL/GALT/HKDC1"
"hsa05160","Hepatitis C",133,0.370605902141939,1.58951222674881,0.0019156387993369,0.0218753591924278,0.016196742310183,4728,"tags=34%, list=25%, signal=26%","E2F3/E2F2/CLDN16/CDK6/EGFR/PPARA/CLDN10/IFNAR2/BAK1/CXCL10/YWHAQ/E2F1/CLDN23/CLDN9/CLDN1/BID/SCARB1/CYCS/CDK2/SOS1/TNF/EIF3E/MYC/CDK4/IFNG/YWHAZ/MX2/NRAS/IKBKE/CLDN2/FAS/YWHAH/YWHAG/PIK3CD/CFLAR/CASP3/MAP2K1/AKT3/FASLG/EIF2AK2/CLDN4/CLDN14/STAT1/RSAD2/BAX"
"hsa04972","Pancreatic secretion",72,-0.395136059766074,-1.68307571664326,0.00202703595773608,0.0224240852824553,0.016603024785404,1436,"tags=22%, list=8%, signal=21%","SLC9A1/KCNMA1/PLA2G2C/ADCY6/PLA2G12A/ATP1A2/ADCY5/PLA2G10/CPA3/ITPR1/ADCY9/ADCY1/RAB27B/SLC26A3/ATP1A4/CPB1"
